"index"	"budget"	"keywords"	"original_language"	"title"	"popularity"	"release_date"	"revenue"	"runtime"	"vote_average"	"vote_count"	"genre"	"release_year"	"release_month"	"release_day"	"first_actor"	"first_actor_gender"	"director_first_name"	"director_gender"
1116	4.2e+07	"fbi law tennessee lawyer law firm"	"en"	"The Firm"	23.736535	1993-06-30	270248367	154	6.6	501	"Drama"	1993	6	30	"Tom Cruise"	"male"	"Sydney"	"female"
1315	5.7e+07	"rock star success discontentedness and displeasedness heavy metal relationship problems"	"en"	"Rock Star"	11.60815	2001-09-04	16991902	105	6	190	"Drama"	2001	9	4	"Mark Wahlberg"	"male"	"Stephen"	"male"
2288	2.7e+07	"new jersey martial arts sister sport murder"	"en"	"Fight Valley"	1.224105	2016-07-22	0	90	3.9	8	"Drama"	2016	7	22	"Erin O'Brien"	"female"	"Rob"	"male"
737	6e+07	"london england corruption cia terrorist sniper"	"en"	"Jack Ryan: Shadow Recruit"	42.538258	2014-01-15	50549107	105	5.9	1173	"Drama"	2014	1	15	"Chris Pine"	"male"	"Kenneth"	"male"
2971	0	NA	"hi"	"Housefull"	0.12082	2010-04-30	0	135	5.2	29	"Drama"	2010	4	30	"Akshay Kumar"	"male"	"Sajid"	"male"
4383	1e+06	"new york beckenbauer pele"	"en"	"Once in a Lifetime: The Extraordinary Story of the New York Cosmos"	0.436148	2006-01-01	0	97	4.7	3	"Documentary"	2006	1	1	"Pel\u00e9 Franz"	NA	"Paul"	"male"
3428	0	"mutation bat attack closed mine bat attack"	"en"	"Bats"	1.537859	1999-10-22	10	91	4.1	35	"Thriller"	1999	10	22	"Lou Diamond"	"female"	"Louis"	"male"
225	1.2e+08	"car race loss of brother chimp family duringcreditsstinger"	"en"	"Speed Racer"	17.060695	2008-05-09	93945766	135	5.7	354	"Action"	2008	5	9	"Emile Hirsch"	"male"	"Lilly"	"female"
1139	4.2e+07	"assassin small town forest revenge deception"	"en"	"The Warrior's Way"	7.349497	2010-12-02	11087569	100	6.3	136	"Thriller"	2010	12	2	"Kate Bosworth"	"female"	"Sngmoo"	NA
1404	3.5e+07	"dictator martial arts hostage liberation of hostage hostage-taking"	"en"	"Street Fighter"	19.286099	1994-12-22	99423521	102	4.1	325	"Thriller"	1994	12	22	"Jean-Claude Van"	NA	"Steven"	"male"
3839	2e+06	"rape secret writing homicide kidnapping"	"es"	"The Secret in Their Eyes"	25.894065	2009-08-13	33965843	129	7.8	626	"Drama"	2009	8	13	"Ricardo Dar\u00edn"	"male"	"Juan"	"male"
2009	0	"fashion designer woman director"	"fr"	"Coco Before Chanel"	8.426589	2009-04-22	0	110	6.6	246	"Drama"	2009	4	22	"Audrey Tautou"	"female"	"Anne"	"female"
1117	4.4e+07	"brother brother relationship based on novel sailing ghost young adult"	"en"	"Charlie St. Cloud"	21.75433	2010-05-01	48190704	99	6.8	566	"Drama"	2010	5	1	"Zac Efron"	"male"	"Burr"	"male"
2696	1.1e+07	"places and planets space marine future cryogenics space"	"en"	"Jason X"	11.220643	2001-07-24	16951798	91	4.5	291	"Fiction"	2001	7	24	"Kane Hodder"	"male"	"James"	"male"
152	1.45e+08	"china martial arts kung fu village panda"	"en"	"Kung Fu Panda 3"	56.747978	2016-01-23	521170825	95	6.7	1603	"Comedy"	2016	1	23	"Jack Black"	"male"	"Jennifer"	"female"
1542	3e+07	"bomb airport bus bus ride highway"	"en"	"Speed"	49.526736	1994-06-09	350448145	116	6.8	1783	"Action"	1994	6	9	"Keanu Reeves"	"male"	"Jan"	"female"
3614	0	"christianity gay coming out independent film coming of age"	"en"	"Saved!"	9.85123	2004-01-21	0	92	6.3	147	"Drama"	2004	1	21	"Jena Malone"	"female"	"Brian"	"male"
3545	8e+06	"pastor church service spirituality religion"	"en"	"Salvation Boulevard"	3.653305	2011-07-15	0	96	5.6	28	"Drama"	2011	7	15	"Jennifer Connelly"	"female"	"George"	"male"
2410	1.7e+07	NA	"en"	"Good Boy!"	3.56033	2003-10-10	0	87	4.7	30	"Comedy"	2003	10	10	"Molly Shannon"	"female"	"John"	"male"
4677	0	"sex bisexual science"	"de"	"Three"	5.937602	2010-12-23	2611555	119	6.3	31	"Drama"	2010	12	23	"Sophie Rois"	"female"	"Tom"	"male"
2603	1.5e+07	"waitress infidelity planned murder pregnancy and birth funeral"	"en"	"Home Fries"	3.033471	1998-11-25	10443316	93	4.8	32	"Drama"	1998	11	25	"Drew Barrymore"	"male"	"Dean"	"male"
2164	0	"gymnastics trainer puberty training sport"	"en"	"Stick It"	9.750557	2006-04-21	0	105	6.3	148	"Drama"	2006	4	21	"Jeff Bridges"	"male"	"Jessica"	"female"
1211	3.6e+07	"cuba mutiny slavery sentence historical figure"	"en"	"Amistad"	3.698276	1997-12-03	7.4e+07	155	6.8	316	"Drama"	1997	12	3	"Morgan Freeman"	"female"	"Steven"	"male"
2385	1.8e+07	NA	"en"	"I Come with the Rain"	8.266124	2009-05-14	0	114	5.6	20	"Drama"	2009	5	14	"Josh Hartnett"	"male"	"Tran"	"female"
3796	0	"independent film"	"en"	"The Last Time I Committed Suicide"	0.596889	1997-06-20	0	92	6.7	7	"Drama"	1997	6	20	"Thomas Jane"	"male"	"Stephen"	"male"
1337	3.7e+07	"soulmates vampire forbidden love immortality trust"	"en"	"Twilight"	127.084938	2008-11-20	392616625	122	5.8	3561	"Drama"	2008	11	20	"Kristen Stewart"	"female"	"Catherine"	"female"
1282	0	"civil war spy hotel journalist journalism"	"en"	"The Hunting Party"	8.048305	2007-09-03	0	101	6.6	96	"Drama"	2007	9	3	"Richard Gere"	"male"	"Richard"	"male"
4263	2e+06	"undercover dog animal welfare animal rights organization puppy mill"	"en"	"The Dog Lover"	1.193219	2016-07-08	0	101	5.3	6	"Drama"	2016	7	8	"Allison Paige"	"female"	"Alex"	"male"
1232	4e+07	"work ethic tv morning show tv reporter"	"en"	"Morning Glory"	22.491388	2010-01-12	58785180	102	6.1	412	"Drama"	2010	1	12	"Rachel McAdams"	"female"	"Roger"	"male"
2704	0	"police brutality resistance south africa apartheid african national congress"	"en"	"Catch a Fire"	4.052219	2006-10-27	4291965	101	6.4	25	"Drama"	2006	10	27	"Tim Robbins"	"male"	"Phillip"	"male"
815	7e+07	"speed date romantic comedy dating"	"en"	"Hitch"	34.576913	2005-02-10	368100420	118	6.4	1665	"Drama"	2005	2	10	"Will Smith"	"male"	"Andy"	"male"
4761	0	NA	"en"	"A True Story"	0.970351	2013-09-20	0	96	6.8	2	"Comedy"	2013	9	20	"Katrina Bowden"	"female"	"Malcolm"	"male"
719	6e+07	"pop star music concert aftercreditsstinger duringcreditsstinger"	"en"	"This Is It"	15.798622	2009-10-28	0	111	6.7	247	"Music"	2009	10	28	"Michael Jackson"	"male"	"Kenny"	"male"
201	1.25e+08	"paris holy grail christianity monk based on novel"	"en"	"The Da Vinci Code"	45.313197	2006-05-17	767820459	149	6.5	2704	"Thriller"	2006	5	17	"Tom Hanks"	"male"	"Ron"	"male"
4487	0	NA	"en"	"Hav Plenty"	0.003142	1997-09-11	0	92	0	0	"Comedy"	1997	9	11	"Christopher Scott"	"male"	"Christopher"	"male"
3803	0	"woman director"	"en"	"Inescapable"	6.783053	2012-09-14	0	93	5.2	13	"Thriller"	2012	9	14	"Alexander Siddig"	"male"	"Ruba"	"female"
654	6.5e+07	"fbi dracula fistfight vampire hunter superhero"	"en"	"Blade: Trinity"	49.660055	2004-12-08	128905366	123	5.7	1252	"Thriller"	2004	12	8	"Wesley Snipes"	"male"	"David"	"male"
3124	0	"boat boat accident underwater shark great white shark"	"en"	"The Reef"	7.245108	2010-05-15	0	94	5.4	130	"Drama"	2010	5	15	"Adrienne Pickering"	"female"	"Andrew"	"male"
4731	0	"games woman director programmers coding"	"en"	"Indie Game: The Movie"	7.676677	2012-05-18	0	96	7.4	203	"Documentary"	2012	5	18	"Jonathan Blow"	"male"	"Lisanne"	"female"
3213	8500000	NA	"en"	"Baggage Claim"	11.436405	2013-09-27	22456509	96	5.6	85	"Comedy"	2013	9	27	"Paula Patton"	"female"	"David"	"male"
1773	2.7e+07	"fbi island serial killer series of murders"	"en"	"Mindhunters"	17.193659	2004-05-07	21148829	106	6.3	333	"Thriller"	2004	5	7	"LL Cool"	NA	"Renny"	"male"
1088	4.5e+07	"cheating adolf hitler success music blonde"	"en"	"The Producers"	6.803965	2005-12-25	38058335	134	6.1	151	"Comedy"	2005	12	25	"Matthew Broderick"	"male"	"Susan"	"female"
3081	1e+07	"japan forest"	"en"	"The Forest"	19.865989	2016-01-07	40055439	95	4.8	448	"Thriller"	2016	1	7	"Natalie Dormer"	"female"	"Jason"	"male"
4776	0	"office love independent film secretary misogynist"	"en"	"In the Company of Men"	2.634007	1997-01-19	0	97	6.8	44	"Drama"	1997	1	19	"Aaron Eckhart"	"male"	"Neil"	"male"
977	7e+07	"cold war friendship giant robot sitting on a toilet fear of unknown"	"en"	"The Iron Giant"	61.245957	1999-08-06	23159305	86	7.6	1436	"Adventure"	1999	8	6	"Eli Marienthal"	"male"	"Brad"	"male"
4621	0	"bodyguard princess female assassin soldier heir"	"en"	"Royal Kill"	1.088501	2009-04-10	0	90	2.8	6	"Thriller"	2009	4	10	"Pat Morita"	"female"	"Babar"	NA
2785	0	"crocodile"	"en"	"The Crocodile Hunter: Collision Course"	1.714972	2002-07-26	33082548	90	5.3	34	"Action"	2002	7	26	"Steve Irwin"	"male"	"John"	"male"
61	176000003	"jupiter space woman director 3d interspecies romance"	"en"	"Jupiter Ascending"	85.36908	2015-02-04	183987723	124	5.2	2768	"Action"	2015	2	4	"Mila Kunis"	"female"	"Lilly"	"female"
1898	2.6e+07	"holiday"	"en"	"Unaccompanied Minors"	10.006282	2006-12-08	0	90	5.4	66	"Comedy"	2006	12	8	"Lewis Black"	"male"	"Paul"	"male"
2746	1.2e+07	"baby genius toddler baby geniuses"	"en"	"Baby Geniuses"	4.580081	1999-03-12	36450736	97	3.3	75	"Comedy"	1999	3	12	"Kathleen Turner"	"female"	"Bob"	"male"
2499	1.3e+07	"prostitute hallucination strip club afterlife surrealism"	"en"	"Enter the Void"	20.39955	2009-05-05	754249	161	7.2	387	"Drama"	2009	5	5	"Nathaniel Brown"	"male"	"Gaspar"	"male"
4557	0	"sport fighting"	"en"	"Fight to the Finish"	0.251828	2016-02-02	0	94	5.2	3	"Action"	2016	2	2	"Jennifer Hale"	"female"	"Warren"	"male"
2369	1.8e+07	"escaped convict depressed mom"	"en"	"Labor Day"	17.683563	2013-12-27	20275812	111	6.7	299	"Drama"	2013	12	27	"Josh Brolin"	"male"	"Jason"	"male"
1265	4e+07	"race against time psychopath homepage cop doctor"	"en"	"FearDotCom"	6.756886	2002-08-09	18902015	101	3.2	105	"Thriller"	2002	8	9	"Stephen Dorff"	"male"	"William"	"male"
596	7e+07	"budapest kidnapping boxer secret agent liberation of hostage"	"en"	"I Spy"	13.267631	2002-10-31	33561137	97	5.2	269	"Comedy"	2002	10	31	"Eddie Murphy"	"male"	"Betty"	"female"
2632	1.5e+07	"china married couple backpacker firearm police"	"en"	"Transsiberian"	11.428903	2008-01-18	5926410	111	6.5	195	"Thriller"	2008	1	18	"Woody Harrelson"	"male"	"Brad"	"male"
4293	1	NA	"en"	"The Algerian"	0.025364	2015-08-07	0	99	0	0	NA	2015	8	7	"Ben Youcef"	"male"	"Giovanni"	"male"
3409	7e+06	"mobster money problems borrow trouble classmates"	"en"	"Criminal Activities"	6.665164	2015-11-20	0	94	5.8	110	"Drama"	2015	11	20	"Dan Stevens"	"male"	"Jackie"	"female"
1766	2.7e+07	"child abuse detective social worker supernatural murder"	"en"	"Case 39"	23.917982	2009-08-13	2.9e+07	109	6.1	563	"Thriller"	2009	8	13	"Ren\u00e9e Zellweger"	NA	"Christian"	"male"
609	5e+07	"prison muslim ship mystery science fiction"	"en"	"Escape Plan"	44.478043	2013-10-09	122915111	115	6.7	1659	"Thriller"	2013	10	9	"Sylvester Stallone"	"male"	"Mikael"	"male"
4242	1500000	"road trip stand-up comedy romantic comedy travel"	"en"	"Road Hard"	0.859014	2015-03-06	0	97	6.6	8	"Comedy"	2015	3	6	"Adam Carolla"	"male"	"Adam"	"male"
1976	2.4e+07	"puppet the muppets"	"en"	"Muppets from Space"	6.589193	1999-07-14	16290976	87	5.8	92	"Comedy"	1999	7	14	"Steve Whitmire"	"male"	"Tim"	"male"
1641	4e+07	"hitman"	"en"	"The Whole Ten Yards"	14.729386	2004-04-07	26155781	98	5.5	278	"Comedy"	2004	4	7	"Bruce Willis"	"male"	"Howard"	"male"
1628	3e+07	"cave water adventure"	"en"	"Sanctum"	20.063165	2011-02-03	108609310	108	5.8	339	"Thriller"	2011	2	3	"Ioan Gruffudd"	"male"	"Alister"	"male"
3068	1e+07	"war crimes violence laotian soldier pipe smoking rice paddy"	"en"	"Rescue Dawn"	17.078656	2006-09-09	7177143	126	6.9	336	"Drama"	2006	9	9	"Christian Bale"	"male"	"Werner"	"male"
4800	0	"date love at first sight narration investigation team"	"en"	"Signed, Sealed, Delivered"	1.444476	2013-10-13	0	120	7	6	"Drama"	2013	10	13	"Eric Mabius"	"male"	"Scott"	"male"
797	5.8e+07	"witness protection comedy duringcreditsstinger"	"en"	"Did You Hear About the Morgans?"	14.403696	2009-12-17	85280250	103	5.1	276	"Comedy"	2009	12	17	"Hugh Grant"	"male"	"Marc"	"male"
1156	4e+07	"ku klux klan rape mississippi jurors blackmail"	"en"	"A Time to Kill"	25.219805	1996-07-24	152266007	149	7	509	"Drama"	1996	7	24	"Matthew McConaughey"	"male"	"Joel"	"male"
1255	4.2e+07	"thailand tsunami family vacation tidal wave catastrophe"	"en"	"The Impossible"	47.559928	2012-09-09	180274123	113	7	2025	"Drama"	2012	9	9	"Naomi Watts"	"female"	"Juan"	"male"
4116	0	NA	"en"	"Teeth"	7.359286	2007-01-19	0	94	5.2	210	"Comedy"	2007	1	19	"Jess Weixler"	"male"	"Mitchell"	"male"
2644	8500000	"sequel"	"th"	"Ong Bak 2"	9.029489	2008-12-04	8936663	98	6	152	"Thriller"	2008	12	4	"Tony Jaa"	"male"	"Tony"	"male"
2558	1.5e+07	"stuntman blood splatter independent film police chase extreme violence"	"en"	"Drive"	49.294864	2011-08-06	78054825	100	7.4	3725	"Drama"	2011	8	6	"Ryan Gosling"	"male"	"Nicolas"	"male"
3234	8500000	"journalism underground tv station sociopath home invasion"	"en"	"Nightcrawler"	89.095538	2014-10-23	38697217	117	7.6	3395	"Drama"	2014	10	23	"Jake Gyllenhaal"	"male"	"Dan"	"male"
802	7e+07	"deadbeat dad cheating fianc\u00e9e teacher student sex brother sister incest"	"en"	"That's My Boy"	21.723897	2012-06-14	58058367	116	5.5	453	"Comedy"	2012	6	14	"Adam Sandler"	"male"	"Sean"	"male"
3609	2e+07	"sex black parody spoof millionaire"	"en"	"Fifty Shades of Black"	14.947588	2016-01-28	21164799	92	4.3	331	"Comedy"	2016	1	28	"Marlon Wayans"	"male"	"Michael"	"male"
984	5e+07	"diving cocaine shipwreck sailing airplane"	"en"	"Into the Blue"	14.723467	2005-09-30	44434439	110	5.8	458	"Thriller"	2005	9	30	"Paul Walker"	"male"	"John"	"male"
2755	1.3e+07	"alien found footage"	"en"	"Earth to Echo"	17.371327	2014-06-14	45300000	89	5.7	290	"Adventure"	2014	6	14	"Teo Halm"	"male"	"Dave"	"male"
878	9e+07	"world war ii dying and death pacific iwo jima aftercreditsstinger"	"en"	"Flags of Our Fathers"	23.9366	2006-10-18	65900249	132	6.7	526	"Drama"	2006	10	18	"Ryan Phillippe"	"male"	"Clint"	"male"
2941	1.1e+07	"angel sheriff loss of mother 1970s texas"	"en"	"Frailty"	16.003958	2001-11-17	13110448	100	7	334	"Drama"	2001	11	17	"Bill Paxton"	"male"	"Bill"	"male"
4065	2100000	"new york state hate crime"	"en"	"Mi America"	0.039007	2015-10-16	3330	126	0	0	"Drama"	2015	10	16	"Robert Fontaine"	"male"	"Robert"	"male"
848	6e+07	"rivalry stop motion pirate aftercreditsstinger duringcreditsstinger"	"en"	"The Pirates! In an Adventure with Scientists!"	23.700759	2012-03-12	118338361	88	6.4	374	"Comedy"	2012	3	12	"Hugh Grant"	"male"	"Peter"	"male"
2469	17700000	"parents kids relationship loss of parents looking for  birth parents meteorite janitor"	"en"	"Joe Dirt"	15.976335	2001-04-10	30987695	91	5.5	242	"Drama"	2001	4	10	"David Spade"	"male"	"Dennie"	"male"
1439	3.5e+07	"journalist terrorist war against terror externally controlled action manipulation"	"en"	"Lions for Lambs"	9.789027	2007-10-22	63215872	92	6	216	"Drama"	2007	10	22	"Robert Redford"	"male"	"Robert"	"male"
2169	2e+07	"based on novel new mexico party vampire hunter revenge"	"en"	"Vampires"	17.016284	1998-04-15	0	108	5.8	255	"Drama"	1998	4	15	"James Woods"	"male"	"John"	"male"
2820	1.2e+07	"dancing new love dance baltimore art school"	"en"	"Step Up"	45.477802	2006-08-11	114194847	104	6.7	1060	"Drama"	2006	8	11	"Channing Tatum"	"male"	"Anne"	"female"
778	6e+07	"new york captain starships new love earth"	"en"	"Meet Dave"	18.676291	2008-07-08	50650079	90	5	371	"Comedy"	2008	7	8	"Eddie Murphy"	"male"	"Brian"	"male"
4029	0	"independent film"	"en"	"8: The Mormon Proposition"	0.424957	2010-01-01	0	80	5.5	6	"Documentary"	2010	1	1	"Rocky Mayor"	"male"	"Reed"	"male"
4802	0	"obsession camcorder crush dream girl"	"en"	"My Date with Drew"	1.929883	2005-08-05	0	90	6.3	16	"Documentary"	2005	8	5	"Drew Barrymore"	"male"	"Brian"	"male"
980	5e+07	"prison journalist texas professor death penalty"	"en"	"The Life of David Gale"	22.442241	2003-02-21	38955598	130	7.3	480	"Drama"	2003	2	21	"Kevin Spacey"	"male"	"Alan"	"male"
228	1.2e+08	"spacecraft dystopia space drone imax"	"en"	"Oblivion"	67.698004	2013-04-10	286168572	124	6.4	4800	"Action"	2013	4	10	"Tom Cruise"	"male"	"Joseph"	"male"
1848	2.8e+07	"spy cia killer robot delinquent teen spy"	"en"	"Agent Cody Banks"	11.859396	2003-03-14	58795814	102	5	284	"Action"	2003	3	14	"Frankie Muniz"	"male"	"Harald"	"male"
1590	3e+07	"based on novel sister sister relationship flirt loss of sister new love"	"en"	"Atonement"	33.369305	2007-08-29	129266061	123	7.4	1049	"Drama"	2007	8	29	"Keira Knightley"	"female"	"Joe"	"male"
2544	1.6e+07	"underdog ball kiss high school school party"	"en"	"Not Another Teen Movie"	23.423082	2001-12-07	66468332	89	5.5	431	"Comedy"	2001	12	7	"Chyler Leigh"	"female"	"Joel"	"male"
1832	2.5e+07	"chocolate mayor praline single mother daughter relationship"	"en"	"Chocolat"	28.727731	2000-12-14	152500343	121	6.8	951	"Drama"	2000	12	14	"Juliette Binoche"	"female"	"Lasse"	"male"
2819	1.2e+07	"submarine navy scuba diving heroism navy seal"	"en"	"Act of Valor"	21.958055	2012-02-24	81272766	110	6.3	417	"Thriller"	2012	2	24	"Roselyn S\u00e1nchez"	"female"	"Mike"	"male"
3633	5e+06	"alcohol arizona beer playboy independent film"	"en"	"Everything Must Go"	9.169411	2010-10-15	2614773	97	6	208	"Drama"	2010	10	15	"Rebecca Hall"	"female"	"Dan"	"male"
4450	0	NA	"en"	"American Hero"	5.023091	2015-12-11	0	86	5	62	"Comedy"	2015	12	11	"Stephen Dorff"	"male"	"Nick"	"male"
178	1.35e+08	"sheriff nevada pet rango chameleon"	"en"	"Rango"	29.91353	2011-03-02	245724603	107	6.6	2051	"Comedy"	2011	3	2	"Johnny Depp"	"male"	"Gore"	NA
601	0	"manager arena dystopia wrestling sport"	"en"	"Rollerball"	9.306253	2002-02-08	0	98	3.4	106	"Thriller"	2002	2	8	"Chris Klein"	"male"	"John"	"male"
2958	10800000	"blood splatter serial killer pig mask nazi jigsaw"	"en"	"Saw V"	32.943848	2008-10-23	113857533	92	5.9	820	"Thriller"	2008	10	23	"Tobin Bell"	"male"	"David"	"male"
668	4.3e+07	"martial arts based on comic book female assassin spin off"	"en"	"Elektra"	28.613892	2005-01-13	56681566	97	4.8	575	"Action"	2005	1	13	"Jennifer Garner"	"female"	"Rob"	"male"
950	5e+07	"corruption hostage pension innocence police"	"en"	"The Negotiator"	28.725621	1998-07-29	44547681	140	6.8	582	"Drama"	1998	7	29	"Samuel L."	"male"	"F."	NA
2179	2e+07	"date competition lovesickness mentor traffic policeman"	"en"	"School for Scoundrels"	8.244324	2006-09-29	17807569	100	5.6	111	"Drama"	2006	9	29	"Billy Bob"	"male"	"Todd"	"male"
1621	1.9e+07	"skateboarding adoption friendship fate"	"en"	"Dumb and Dumberer: When Harry Met Lloyd"	15.67747	2003-06-13	39267515	85	4.1	210	"Comedy"	2003	6	13	"Mimi Rogers"	"female"	"Troy"	"male"
539	7.5e+07	"monster galaxy dystopia space alien"	"en"	"Titan A.E."	14.44381	2000-06-16	36754634	94	6.3	313	"Action"	2000	6	16	"Matt Damon"	"male"	"Gary"	"male"
1414	3.5e+07	"isolation atomic bomb bunker shelter"	"en"	"Blast from the Past"	8.737058	1999-02-12	40263020	112	6.3	245	"Comedy"	1999	2	12	"Brendan Fraser"	"male"	"Hugh"	"male"
153	1.45e+08	"fight sequel mission explosion broken arm"	"en"	"Mission: Impossible - Ghost Protocol"	77.77477	2011-12-07	694713380	133	6.8	3972	"Thriller"	2011	12	7	"Tom Cruise"	"male"	"Brad"	"male"
1212	4e+07	"medicine ant research amazon cancer"	"en"	"Medicine Man"	7.021871	1992-02-07	0	106	5.8	114	"Adventure"	1992	2	7	"Sean Connery"	"male"	"John"	"male"
1661	3e+07	"technology garage hacker male friendship microchip"	"en"	"Antitrust"	8.359599	2001-01-12	18195610	108	5.8	153	"Drama"	2001	1	12	"Ryan Phillippe"	"male"	"Peter"	"male"
3380	7e+06	"suburb violence killing spree prison visit guinea pig"	"en"	"We Need to Talk About Kevin"	21.276864	2011-09-28	6038942	112	7.4	677	"Drama"	2011	9	28	"John C."	"male"	"Lynne"	"female"
4624	0	"terror anthology suspense"	"en"	"Locker 13"	1.905197	2014-03-29	0	90	6.8	3	"Drama"	2014	3	29	"Ricky Schroder"	"male"	"Jason"	"male"
697	6e+07	"claustrophobia hidden camera dystopia reality show make believe"	"en"	"The Truman Show"	56.488027	1998-06-04	264118201	103	7.8	4537	"Drama"	1998	6	4	"Jim Carrey"	"male"	"Peter"	"male"
1587	3e+07	"competition garden vegetable stop motion animation"	"en"	"The Curse of the Were-Rabbit"	30.380747	2005-09-04	192452832	85	6.8	643	"Comedy"	2005	9	4	"Peter Sallis"	"male"	"Nick"	"male"
272	9e+07	"architect cellist friends anniversary"	"en"	"Town & Country"	1.004579	2001-04-27	10372291	104	3.7	16	"Comedy"	2001	4	27	"Warren Beatty"	"male"	"Peter"	"male"
2988	1e+07	"male nudity nurse japanese house remake"	"en"	"The Grudge"	35.695442	2004-10-22	183474602	92	5.8	865	"Thriller"	2004	10	22	"Sarah Michelle"	"female"	"Takashi"	"male"
2345	1.8e+07	"hotel florist forest grief seminar"	"en"	"Love Happens"	13.472365	2009-09-18	36133014	109	5.6	180	"Drama"	2009	9	18	"Aaron Eckhart"	"male"	"Brandon"	"male"
3154	0	NA	"en"	"Kites"	4.807549	2010-05-21	0	131	6	40	"Drama"	2010	5	21	"Hrithik Roshan"	"male"	"Anurag"	"male"
1853	2.5e+07	"head wound criminal security guard contraband"	"en"	"Contraband"	31.364901	2012-01-12	63100000	109	6.1	770	"Drama"	2012	1	12	"Mark Wahlberg"	"male"	"Baltasar"	"male"
1886	2.5e+07	"sport figure skating teenage girl teen movie teenager"	"en"	"Ice Princess"	13.288177	2005-03-17	27645491	98	5.9	185	"Drama"	2005	3	17	"Michelle Trachtenberg"	"female"	"Tim"	"male"
1515	2.8e+07	"irland rock star court case rivalry falling in love"	"en"	"Laws of Attraction"	6.201404	2004-04-04	30016165	90	5.6	104	"Comedy"	2004	4	4	"Pierce Brosnan"	"male"	"Peter"	"male"
2298	1.9e+07	"sex jealousy virgin nudity community"	"en"	"Sex Drive"	17.952817	2008-10-16	18755936	109	6	342	"Comedy"	2008	10	16	"Josh Zuckerman"	"male"	"Sean"	"male"
2124	2e+07	"vandalism harassment neighbor house party shot to death"	"en"	"Lakeview Terrace"	20.495749	2008-09-19	27640028	110	5.9	292	"Drama"	2008	9	19	"Samuel L."	"male"	"Neil"	"male"
299	1e+08	"riddle dc comics rose gotham city partner"	"en"	"Batman Forever"	48.205606	1995-05-31	336529144	121	5.2	1498	"Action"	1995	5	31	"Val Kilmer"	"male"	"Joel"	"male"
3035	1e+07	"sex terrorist beach nudity police"	"en"	"Reno 911!: Miami"	4.207456	2007-02-23	20342161	84	5.6	72	"Comedy"	2007	2	23	"Lennie Loftin"	"male"	"Ben"	"male"
902	5e+07	"stadium career sport sports agent"	"en"	"Jerry Maguire"	27.039636	1996-12-06	273552592	139	6.7	913	"Drama"	1996	12	6	"Tom Cruise"	"male"	"Cameron"	"male"
3466	6e+06	"double life commercial fantasy chance marketing"	"en"	"Sliding Doors"	15.639016	1998-04-23	5.8e+07	99	6.5	354	"Drama"	1998	4	23	"Gwyneth Paltrow"	"female"	"Peter"	"male"
1364	3.5e+07	"conspiracy of murder bad boss employee death of father stakeout"	"en"	"Horrible Bosses"	50.309843	2011-07-08	1.17e+08	98	6.5	2277	"Comedy"	2011	7	8	"Jennifer Aniston"	"female"	"Seth"	"male"
